id,first_name,second_name,web_name,position,team,squad_number
441,Jaroslaw,Jach,Jach,1,6,33
442,Pape,Souaré,Souaré,1,6,27
443,Connor,Wickham,Wickham,3,6,21
444,Ben,Foster,Foster,0,17,26
445,Ken,Sema,Sema,2,17,12
446,Jack,Wilshere,Wilshere,2,18,19
447,Morgan,Gibbs-White,Gibbs-White,2,19,17
448,Rafa,Mir,Mir,3,19,9
449,Lucas,Torreira,Torreira,2,0,11
450,Matteo,Guendouzi,Guendouzi,2,0,29
451,Angus,Gunn,Gunn,0,15,28
452,Andriy,Yarmolenko,Yarmolenko,2,18,20
453,Rui Pedro,dos Santos Patrício,Patrício,0,19,11
454,Maxime,Le Marchand,Le Marchand,1,8,20
455,Jean Michael,Seri,Seri,2,8,24
456,Danny,Ward,Ward,0,10,12
457,Robert Kenedy,Nunes do Nascimento,Kenedy,2,14,15
458,Jorge Luiz,Frello Filho,Jorginho,2,5,5
459,Cyrus,Christie,Christie,1,8,22
460,Erik,Durm,Durm,1,9,37
461,Xherdan,Shaqiri,Shaqiri,2,11,23
462,Jannik,Vestergaard,Vestergaard,1,15,4
463,Fabián,Balbuena,Balbuena,1,18,4
464,Felipe Anderson,Pereira Gomes,Felipe Anderson,2,18,8
465,Yves,Bissouma,Bissouma,2,2,8
466,Greg,Cunninghamm,Cunningham,1,4,18
467,Alisson,Ramses Becker,Alisson,0,11,13
468,Kevin,Mirallas,Mirallas,2,7,8
469,Sandro,Ramírez,Sandro,3,7,9
470,Adama,Diakhaby,Diakhaby,2,9,11
471,Daniel,Sturridge,Sturridge,3,11,15
472,Diego,Rico,Rico,1,1,21
473,Fabricio,Agosto Ramírez,Fabri,0,8,31
474,João Filipe Iria,Santos Moutinho,Moutinho,2,19,28
475,Alireza,Jahanbakhsh,Jahanbakhsh,2,2,16
476,Sullay,Kaikai,Kaikai,2,6,25
477,André,Schürrle,Schürrle,2,8,14
478,Matt,Targett,Targett,1,15,33
479,Aleksandar,Mitrovic,Mitrovic,3,8,9
480,Andreas,Pereira,Pereira,2,13,15
481,Fabian,Schär,Schär,1,14,5
482,Jonathan,Castro Otto,Jonny,1,19,19
483,Lucas,Digne,Digne,1,7,12
484,Anders,Lindegaard,Lindegaard,0,3,22
485,Max,Meyer,Meyer,2,6,7
486,Alfie,Mawson,Mawson,1,8,26
487,Yoshinori,Muto,Muto,3,14,13
488,Robert,Snodgrass,Snodgrass,2,18,11
489,Joe,Hart,Hart,0,3,20
490,Ben,Gibson,Gibson,1,3,14
491,Rachid,Ghezzal,Ghezzal,2,10,31
492,Salomón,Rondón,Rondón,3,14,9
493,Jefferson,Lerma,Lerma,2,1,8
494,Matej,Vydra,Vydra,3,3,27
495,Tammy,Abraham,Abraham,3,5,19
496,Georges-Kévin,Nkoudou,Nkoudou,2,16,14
497,Kepa,Arrizabalaga,Kepa,0,5,1
498,Mateo,Kovacic,Kovacic,2,5,17
499,Adama,Traoré,Traoré,2,19,37
500,Filip,Benkovic,Benkovic,1,10,16
501,Lucas,Pérez,Lucas,3,18,27
502,Martín,Montoya,Montoya,1,2,22
503,Víctor,Camarasa,Camarasa,2,4,21
504,Jordan,Ayew,Ayew,3,6,14
505,Yerry,Mina,Mina,1,7,13
506,Bernard,Anício Caldeira Duarte,Bernard,2,7,20
507,André Filipe,Tavares Gomes,André Gomes,2,7,8
508,Sergio,Rico,Rico,0,8,25
509,Joe,Bryan,Bryan,1,8,23
510,Timothy,Fosu-Mensah,Fosu-Mensah,1,8,21
511,André-Frank,Zambo Anguissa,Zambo Anguissa,2,8,29
512,Luciano,Vietto,Vietto,3,8,19
513,Isaac,Mbenza,Mbenza,2,9,18
514,Çaglar,Söyüncü,Söyüncü,1,10,4
515,Federico,Fernández,Fernández,1,14,18
516,Domingos,Quina,Quina,2,17,20
517,Carlos,Sánchez,Carlos Sánchez,2,18,15
518,Leander,Dendoncker,Dendoncker,2,19,32
519,Lee,Grant,Grant,0,13,13
520,Ibrahima,Cissé,Cissé,2,8,44
521,Jon Gorenc,Stankovic,Stankovic,1,9,27
522,Luke,Amos,Amos,2,16,40
523,Isaac,Success Ajayi,Success,3,17,10
524,Kortney,Hause,Hause,1,19,30
525,Kurt,Zouma,Zouma,1,7,5
526,Nampalys,Mendy,Mendy,2,10,24
527,Kieran,Dowell,Dowell,2,7,28
528,Arijanet,Muric,Muric,0,12,49
529,Jamie,Sterry,Sterry,1,14,25
530,Sean,Longstaff,Longstaff,2,14,36
531,Tyias,Browning,Browning,1,7,35
532,Ryan,Schofield,Schofield,0,9,31
533,Dwight,McNeil,McNeil,2,3,31
534,Kadeem,Harris,Harris,2,4,23
535,Paulo,Gazzaniga,Gazzaniga,0,16,22
536,Brian,Murphy,Brian Murphy,0,4,28
537,Alfie,Whiteman,Whiteman,0,16,41
538,Grady,Diangana,Diangana,2,18,45
539,Oliver,Skipp,Skipp,2,16,52
540,Zeze Steven,Sessegnon,Steven Sessegnon,1,8,43
541,Emiliano,Martínez,Martínez,0,0,26
542,Divock,Origi,Origi,3,11,27
543,Ben,Wilmot,Wilmot,1,17,24
544,Emile,Smith-Rowe,Smith-Rowe,2,0,55
545,Zech,Medley,Medley,1,0,47
546,Joe,Powell,Powell,2,18,50
547,Conor,Coventry,Coventry,2,18,54
548,Juan,Foyth,Foyth,1,16,21
549,Michael,Obafemi,Obafemi,3,15,61
550,Viktor,Gyokeres,Gyokeres,3,2,42
551,Edward,Nketiah,Nketiah,3,0,49
552,Frederick,Woodman,Woodman,0,14,41
553,Adalberto,Peñaranda,Peñaranda,3,17,17
554,Ryan John,Giles,Giles,2,19,23
555,Yan,Valery,Valery,1,15,43
556,Rafael,Camacho,Camacho,2,11,64
557,Josh,Knight,Knight,1,10,34
558,Ben,White,White,1,2,28
559,Alexandre Nascimento,Costa Silva,Xande Silva,3,18,32
560,Timothy,Eyoma,Eyoma,1,16,53
561,Tyreke,Johnson,Johnson,2,15,51
562,Bukayo,Saka,Saka,2,0,87
563,Abd-Al-Ali Morakinyo Olaposi,Koiki,Koiki,1,3,42
564,Kayne,Ramsay,Ramsay,1,15,66
565,Joseph,Willock,Willock,2,0,59
566,Max,Kilman,Kilman,1,19,49
567,Angel,Gomes,Gomes,2,13,47
568,Samir,Nasri,Nasri,2,18,18
569,Callum,Slattery,Slattery,2,15,55
570,Harvey,Barnes,Barnes,2,10,19
571,Max,Sanders,Sanders,2,2,41
572,Rhys,Healey,Healey,3,4,32
573,Sam,Gallagher,Gallagher,3,15,15
574,Ryan,Babel,Babel,2,8,12
575,Joe,Tupper,Tupper,0,6,41
576,Callum,Roberts,Roberts,2,14,37
577,Kazaiah,Sterling,Sterling,3,16,50
578,Gonzalo,Higuaín,Higuaín,3,5,9
